activity,Proposed activity
PIGMENT_DISPERSING_HORMONE,
PILOSULIN,
PLATELET AGGREGATION INHIBITOR,
PLATELET AGREGATION INHIBITOR,
PLATELET_DERIVED_GROWTH_FACTOR,
PLEURIN,
PLEUROCIDIN,
PNEUMADIN,
POLYBINE,
POMPILIDOTOXIN,
PONERICIN,
PONERICIN_L,
PORE-FORMING,
POTASSIUM_CHANNEL_TOXIN_ALPHA_KTX,
POTASSIUM_CHANNEL_TOXIN_KAPPA_KTX,
POTENTIATOR,
PRECIPITATION INHIBITOR,
PRO-APOPTOTIC,
PROCTOLIN,
PROKINETICIN,
PROLIFERATION REGULATOR,
PROLIFERATION STIMULATOR,
PROPEPTIDE,Propeptide
PROSAAS,
PROTEASE-INHIBITOR,
PROTEIN DIMERIZATION ACTIVATOR,
PROTEIN EXPRESSION REGULATOR,
PROTEIN INHIBITOR,
PROTEIN SYNTHESIS INHIBITOR,
PROTEIN TRANSLATION INHIBITOR,
PROTEIN TRANSPORT INHIBITOR,
PROTEIN-BINDING,
PROTEIN-BINDING INHIBITOR,
PROTEIN-DIMERIZATION-ACTIVATOR,
PROTEIN-SYNTHESIS-INHIBITOR,
PROTEIN-TRANSLATION-INHIBITOR,
PROTEIN_C12ORF39,
PROTEOLYSIS ACTIVATOR,
PROTEOLYSIS-ACTIVATOR,
PROTHORACICOTROPIC_HORMONE_PRECURSOR,
PROTISTA,
PROTONECTIN,
PRO_MCH,
PSEUDIN,
PTN_MK_HEPARIN_BINDING,
PYROKININS,
PYRRHOCORICIN,
QUORUMSENSING,Quorum sensing
RADIOPROTECTIVE,
RALF,
RALF-RAPID-ALKALINIZATION-FACTOR,
RECEPTIVITY_FACTOR,
RECEPTOR ANTAGONIST,
RECEPTOR INHIBITOR,
RECEPTOR INHIBITORRECEPTOR INHIBITOR,
RECEPTOR LIGAND,
RECEPTOR-STIMULATING,
REDUCTANT,
RESISTANCE-ACTIVITY,
RESISTIN,
RIBONUCLEOPROTEIN,
RIBOSOME-INACTIVATING,
RUBELLIDIN,
SALIVARY_ANTI_THROMBIN_ANOPHELIN,
SALIVARY_GLUE_PROTEIN_3,
SALIVARY_GLUE_PROTEIN_5,
SALIVARY_SECRETED,
SALIVATION STIMULATOR,
SALMOCIDIN,
SALT PRECIPITATION INHIBITOR,
SCORPION_SHORT_TOXIN_1,
SCORPION_SHORT_TOXIN_2,
SCORPION_TOXIN,
SCORPION_TOXIN_ISCT,
SEA_ANEMONE_BDS_TOXIN,
SEA_ANEMONE_POTASSIUM_CHANNEL_INHIBITORY_TOXIN,
SEA_ANEMONE_SHORT_TOXIN,
SECAPIN,
SEMINAL_VESICLE_SPECIFIC_PEPTIDE,
SERINE-PROTEASE-INHIBITOR,
SEX PHEROMONE INHIBITOR,
SEX REGULATOR,
SHORT_NEUROPEPTIDE_F,
SIGNAL,Signal
SIGNALING MOLECULES,Signal
SIGNALING-PEPTIDE,Signal
SILOCA-PRECIPITATING,
SKIN_SECRETED_PEPTIDE_1,
SLEEPER,
SMALL_CARDIOACTIVE_PEPTIDE,
SMALL_CYTOKINES,
SMOOTH-MUSCLES-CONTRACTING-PEPTIDE,
SNAKE_TOXINS,
SNTX_VTX_TOXIN,
SODEFRIN,
SODIUM CHANNEL BLOCKER,
SODIUM-CHANNEL-BLOCKER,
SOMATOSTATIN,
SOMATOTROPIN,
SPATZLE,
SPERM ACTIVATOR,
SPERM ATTRACTING,
SPERM_ACTIVATING_PEPTIDE,
SPIDER_TOXIN_CSTX,
SPIDER_TOXIN_TX2,
SPORULATION FACTOR,
SPORULATION PARTICIPANT,
SPORULATION REGULATOR,
SPTR_PROHORMONE,
STANNIOCALCIN,
STATHERIN,
STIMULATOR OF HORMONE SYNTHESIS,
STREPOGENIN,
STRESS RESPONSE,
STROMAL_CELL_DERIVED_GROWTH_FACTOR,
STRUCTURAL ROLE IN BIOSYNTHESIS,
STYELIN,
SUBMAXILLARY_GLAND_ANDROGEN_REGULATED_PROTEIN,
SUPPRESSES GENE EXPRESSION,
SURFACEIMMOBILIZED,
SYNTHESIS STIMULATOR,
SYNTHESIS-STIMULATOR,
SYNTHETIC,
TACHYKININ,
TACHYPLESIN_POLYPHEMUSIN,
TACHYSTATIN,
TAMULUSTOXIN,
TAP BINDER,
TASTE,
TERMICIN,
TESTIS_ECDYSIOTROPIN_PEPTIDE,
TETRAPANDIN,
TGF_BETA,
THERMAL,
THYMIC_FACTOR,
THYMOSIN_BETA,
THYROLIBERIN,
TIGERININ,
TOXIC,Toxic
TOXIN,Toxic
TRANSCRIPTION FACTOR,
TRANSCRIPTION REGULATOR,
TRANSCRIPTION-FACTOR,
TRANSIT,Transit
TRANSPORT,
TRANSPORTER,
TRANSTHYRETIN,
TREFOIL_FACTOR,
TRUNK_PROTEIN,
TRYPSIN INHIBITORY,
TRYPSIN-INHIBITOR,
TRYPSIN_MODULATING_OOSTATIC_FACTOR,
TRYPTOPHYLLIN,
TUBEROINFUNDIBULAR_PEPTIDE,
TUMOR HOMING,
TUMORHOMINGPEPTIDE,
TURRITOXIN,
TYPE_III_ANTIFREEZE,
TYROSINASE-AND-MELANIN-INHIBITOR,
TYROSINASE-INHIBITOR,
UROTENSIN_II,
UTEROACTIVE,
UTEROGLOBIN,
UTEROTONIC,
UTEROTONIC-ACTIVITY,
VASCULAR PERMEABILITY ENHANCING,
VASORELAXANT,
VD1_RPD2_ALPHA_PEPTIDE,
VEGF_CO_REGULATED_CHEMOKINE_1,
VENOM,
VESPID_CHEMOTACTIC_PEPTIDE,
VESPRYN,
VIRUS,Antiviral
VIRUS,Antiviral
FUNGUS,Antifungal
WAGLERIN,
WAMIDE_NEUROPEPTIDES,
WATER CHANNEL,
WIDE SPECTRUM OF ACTIVITY,
WWAMIDE,
XENOXIN,
YEAST,Anti Yeast
ZN-BINDING,
