component_1
71.85078706
-6.963890241
-90.14547524
-56.58549851
15.67851598
-32.60652584
21.03730401
-62.33938489
31.27339717
164.6496602
-16.38464782
54.45834866
-18.77497092
21.61973436
115.3721123
-106.5610174
-23.99096426
-76.02540047
-15.49114796
9.929063794

